,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HY,AY,HR,AR,FTR,Gol_Average_Home,Dif_Home,Rojas_Home,Puntos_Home,Goles_Marcados_Home,Gol_Average_Away,Dif_Away,Rojas_Away,Puntos_Away,Goles_Marcados_Away
245,SP1,18/02/2024,Vallecano,Real Madrid,1,1,1,1,8,11,3,4,4,3,0,1,D,-0.4583333333333333,-0.023550724637681153,0.125,24.0,0.875,1.5416666666666667,0.10688405797101463,0.08333333333333333,61.0,2.1666666666666665
246,SP1,18/02/2024,Granada,Almeria,1,1,0,1,19,13,7,3,2,3,0,0,D,-0.9166666666666666,0.03985507246376818,0.16666666666666666,13.0,1.0833333333333333,-1.2083333333333333,0.05253623188405809,0.08333333333333333,7.0,0.9166666666666666
247,SP1,18/02/2024,Mallorca,Sociedad,1,2,1,1,4,19,1,5,7,5,1,0,A,-0.4166666666666667,0.06159420289855072,0.08333333333333333,23.0,0.875,0.4166666666666667,-0.06159420289855072,0.041666666666666664,37.0,1.3333333333333333
248,SP1,18/02/2024,Betis,Alaves,0,0,0,0,13,13,2,4,5,2,0,0,D,0.125,0.08152173913043478,0.08333333333333333,38.0,1.1666666666666667,-0.2916666666666667,0.012681159420289856,0.041666666666666664,27.0,1.0
249,SP1,19/02/2024,Ath Bilbao,Girona,3,2,1,0,14,12,7,6,1,2,0,0,H,0.875,-0.03804347826086951,0.08333333333333333,46.0,1.75,0.9583333333333334,-0.2155797101449276,0.041666666666666664,56.0,2.1666666666666665
250,SP1,23/02/2024,Sociedad,Villarreal,1,3,0,1,21,6,8,4,3,4,0,0,A,0.44,0.023333333333333317,0.04,40.0,1.36,-0.48,0.020000000000000018,0.16,26.0,1.4
251,SP1,24/02/2024,Barcelona,Getafe,4,0,1,0,17,10,9,4,1,4,0,0,H,0.72,0.011666666666666603,0.08,54.0,2.08,-0.04,0.0016666666666666635,0.28,34.0,1.32
252,SP1,24/02/2024,Alaves,Mallorca,1,1,0,0,9,15,1,8,0,2,0,0,D,-0.28,0.011666666666666659,0.04,28.0,0.96,-0.44,-0.023333333333333317,0.12,23.0,0.88
253,SP1,24/02/2024,Almeria,Ath Madrid,2,2,1,1,9,18,4,9,1,1,0,0,D,-1.16,0.04833333333333334,0.08,8.0,0.92,0.96,0.16833333333333333,0.12,51.0,2.0
254,SP1,25/02/2024,Cadiz,Celta,2,2,0,1,19,7,6,3,2,3,0,0,D,-0.8,-0.050000000000000044,0.24,17.0,0.6,-0.4,-0.025000000000000022,0.16,20.0,1.08
255,SP1,25/02/2024,Betis,Ath Bilbao,3,1,2,1,13,3,5,1,1,6,0,1,H,0.12,-0.0050000000000000044,0.08,39.0,1.12,0.88,0.0050000000000000044,0.08,49.0,1.8
